variable,mean,sd,ess_bulk,rhat,CI_2_5,CI_5,CI_10,CI_25,CI_75,CI_90,CI_95,CI_97_5,p_positive,model
b_Intercept,0.39865118419495,0.21888576631368167,11416.890659456558,1.0000445425319855,-0.028273932499999994,0.04504423000000002,0.1235379,0.25404625000000003,0.54131,0.6786290000000004,0.7578086499999998,0.8363882249999994,0.9665,dHe_27
bsp_medHedHE_er,0.96420301023358,0.6440948454085165,13139.886324945675,1.0000641099813252,-0.3212546,-0.10191879999999999,0.12538890000000003,0.531832,1.4032,1.7801050000000003,2.0013135,2.204761499999999,0.9312,dHe_27
sd_Study__Intercept,0.579909138619265,0.24419792666233414,2689.1012491358883,1.0010550892836827,0.076504085,0.1370864,0.2429524,0.428386,0.7379832500000001,0.8758271000000002,0.9682135999999997,1.0599952499999996,1,dHe_27
sigma,0.5890622751,0.15539025877254206,3234.1969615396247,1.0008988756287582,0.34657435000000003,0.3730554,0.4066855,0.47273599999999993,0.6855665,0.8023646000000003,0.87279425,0.9370375249999998,1,dHe_27
Intercept,0.39865118419495,0.21888576631368167,11416.890659456558,1.0000445425319855,-0.028273932499999994,0.04504423000000002,0.1235379,0.25404625000000003,0.54131,0.6786290000000004,0.7578086499999998,0.8363882249999994,0.9665,dHe_27
"r_Study[Arrendal.(2004),Intercept]",-0.16483405494203815,0.3586870233564596,14372.372403297588,1.0001270451365967,-0.9046955499999999,-0.7747274000000001,-0.6394697,-0.392123,0.0580342,0.2602874000000002,0.40713644999999987,0.5248181249999998,0.32395,dHe_27
"r_Study[Bateson.(2014),Intercept]",-0.568451175641211,0.48598534860938986,5154.632718530937,1.0005323940602284,-1.558185,-1.4016255,-1.217314,-0.907849,-0.19002824999999998,0.023291100000000044,0.13673924999999987,0.2541737249999997,0.1192,dHe_27
"r_Study[Fitzpatrick.(2016),Intercept]",0.920871570713636,0.5470713400091983,3540.518038788559,1.0004137361387135,-0.0487328275,0.006401249000000008,0.1335803,0.5200680000000001,1.308505,1.6166960000000001,1.7973759999999999,1.9502474999999977,0.9542,dHe_27
"r_Study[Gustafson.(2017),Intercept]",-0.1597913005924475,0.4047484460741939,19756.589132445246,1.0008503222420584,-0.997251575,-0.8501544,-0.6810067999999999,-0.412751,0.093883475,0.3227574000000001,0.4793747,0.6146688999999992,0.35025,dHe_27
"r_Study[Hasselgren.(2018),Intercept]",0.0713134426119295,0.40060042335322393,25752.593542635885,1.0003010447723926,-0.7317330999999999,-0.580264,-0.41939439999999995,-0.17346499999999998,0.31779850000000004,0.5802629000000008,0.74112295,0.8907623999999997,0.5698,dHe_27
"r_Study[Heber.(2013),Intercept]",0.2815676694902351,0.35696092257086925,11342.759987858588,1.0000776389948813,-0.37407845,-0.25812565,-0.14136010000000002,0.029642349999999998,0.51874525,0.7460157000000002,0.8905753,1.0149032499999997,0.7864,dHe_27
"r_Study[Hedrick.(2004),Intercept]",-0.341271159092205,0.43228865573656605,9715.955602684411,1.0002426582123227,-1.24746125,-1.0874025,-0.9080936,-0.6238585,-0.032091175,0.16244000000000042,0.3103137499999999,0.444936749999998,0.21535,dHe_27
"r_Study[Johnson.(2010),Intercept]",0.2963380499029685,0.43329237747271593,11061.95346146458,1.0000536355655785,-0.5112487749999999,-0.36364704999999997,-0.21488089999999999,0.0023305575,0.57914725,0.8656676000000003,1.0358275,1.1996762499999993,0.7537,dHe_27
"r_Study[Kronenberger.(2018),Intercept]",-0.436639854885895,0.38831516731467186,6338.041189020931,1.0002916425446042,-1.22564,-1.0970965,-0.9481338,-0.699567,-0.14782374999999998,0.03677531000000034,0.14549934999999994,0.2583500499999983,0.12715,dHe_27
